eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar_2,group
250B,CL 65:4_28.80,0.330409512,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,9.12022E-05,250bar
250C,CL 65:4_28.80,0.107696828,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,2.97273E-05,250bar
1A,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.170733148,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,4.71271E-05,1bar
1B,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.166241671,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,4.58873E-05,1bar
1C,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.153629837,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,4.24061E-05,1bar
250A,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.267703901,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,7.38937E-05,250bar
250B,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.318726987,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,8.79775E-05,250bar
250C,CL 66:2_29.03 | 14:0_16:0_17:1_19:1,0.069977067,CL,1,NA,66,2,29.03,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_19:1,1.93156E-05,250bar
1A,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,2.278566259,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.000628948,1bar
1B,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,2.084117522,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.000575274,1bar
1C,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,2.207874748,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.000609435,1bar
250A,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,1.604835568,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.000442979,250bar
250B,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,2.281158425,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.000629663,250bar
250C,CL 66:2_29.03 | 16:0_16:0_17:1_17:1,0.694988487,CL,1,NA,66,2,29.03,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_17:1,0.000191836,250bar
1A,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.575745809,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.000158922,1bar
1B,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.651505388,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.000179834,1bar
1C,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.607634693,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.000167724,1bar
250A,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.334458803,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,9.23199E-05,250bar
