eid	id	rab	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar_2	group	sp	collection	depth
1A	CL 70:2_29.71 | 16:0_17:1_18:0_19:1	0.040091546	CL	1	NA	70	2	29.71	NA	16	0	NA	17	1	NA	NA	NA	FALSE	16:0_17:1_18:0_19:1	1.10664e-5	1bar	Ecoli	NA	1
1A	CL 70:5_29.35	0.217918543	CL	1	NA	70	5	29.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	70:05:00	6.01516e-5	1bar	Ecoli	NA	1
1A	CL 71:3_29.62 | 16:0_17:1_19:1_19:1	0.426390742	CL	1	NA	71	3	29.62	NA	16	0	NA	17	1	NA	NA	NA	FALSE	16:0_17:1_19:1_19:1	1.17696e-4	1bar	Ecoli	NA	1
1A	CL 71:6_29.28	0.046090307	CL	1	NA	71	6	29.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	71:06:00	1.27222e-5	1bar	Ecoli	NA	1
1A	CL 72:5_29.71	0.061322297	CL	1	NA	72	5	29.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	72:05:00	1.69267e-5	1bar	Ecoli	NA	1
1A	CL 73:3_29.96 | 16:0_19:1_19:1_19:1	0.18089061	CL	1	NA	73	3	29.96	NA	16	0	NA	19	1	NA	NA	NA	FALSE	16:0_19:1_19:1_19:1	4.99308e-5	1bar	Ecoli	NA	1
1A	CL 73:6_29.62	0.03839229	CL	1	NA	73	6	29.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	73:06:00	1.05973e-5	1bar	Ecoli	NA	1
1A	CL 74:4_29.87 | 17:1_19:1_19:1_19:1	0.030195015	CL	1	NA	74	4	29.87	NA	17	1	NA	19	1	NA	NA	NA	FALSE	17:1_19:1_19:1_19:1	8.33466e-6	1bar	Ecoli	NA	1
1B	PE 28:0_11.58 | 14:0/14:0	3.160231792	PE	2	NA	28	0	11.58	NA	14	0	NA	14	0	NA	NA	NA	TRUE	14:0/14:0	8.72312e-4	1bar	Ecoli	NA	1
1B	PE 28:0_11.58 | 16:0/12:0	1.237290431	PE	2	NA	28	0	11.58	NA	16	0	NA	12	0	NA	NA	NA	TRUE	16:0/12:0	3.41527e-4	1bar	Ecoli	NA	1
1B	PE 29:0_12.53 | 15:0/14:0	1.306439517	PE	2	NA	29	0	12.53	NA	15	0	NA	14	0	NA	NA	NA	TRUE	15:0/14:0	3.60614e-4	1bar	Ecoli	NA	1
1B	PE 29:0_12.53 | 16:0/13:0	1.254299549	PE	2	NA	29	0	12.53	NA	16	0	NA	13	0	NA	NA	NA	TRUE	16:0/13:0	3.46222e-4	1bar	Ecoli	NA	1
1B	PE 29:1_11.25 | 12:0/17:1	0.404868661	PE	2	NA	29	1	11.25	NA	12	0	NA	17	1	NA	NA	NA	TRUE	12:0/17:1	1.11755e-4	1bar	Ecoli	NA	1
1B	PE 30:0_13.67 | 16:0/14:0	89.6971163	PE	2	NA	30	0	13.67	NA	16	0	NA	14	0	NA	NA	NA	TRUE	16:0/14:0	0.024758897	1bar	Ecoli	NA	1
1B	PE 30:1_11.94 | 16:1/14:0	0.328785404	PE	2	NA	30	1	11.94	NA	16	1	NA	14	0	NA	NA	NA	TRUE	16:1/14:0	9.07539e-5	1bar	Ecoli	NA	1
1B	PE 30:1_12.22 | 16:0/14:1	2.360464283	PE	2	NA	30	1	12.22	NA	16	0	NA	14	1	NA	NA	NA	TRUE	16:0/14:1	6.51554e-4	1bar	Ecoli	NA	1
1B	PE 31:0_15.01 | 16:0/15:0	8.804612181	PE	2	NA	31	0	15.01	NA	16	0	NA	15	0	NA	NA	NA	TRUE	16:0/15:0	0.002430318	1bar	Ecoli	NA	1
1B	PE 31:1_13.18 | 14:0/17:1	8.500436628	PE	2	NA	31	1	13.18	NA	14	0	NA	17	1	NA	NA	NA	TRUE	14:0/17:1	0.002346357	1bar	Ecoli	NA	1
1B	PE 32:0_16.64 | 16:0/16:0	61.84724045	PE	2	NA	32	0	16.64	NA	16	0	NA	16	0	NA	NA	NA	TRUE	16:0/16:0	0.017071557	1bar	Ecoli	NA	1
1B	PE 32:1_14.36 | 15:0/17:1	5.840727708	PE	2	NA	32	1	14.36	NA	15	0	NA	17	1	NA	NA	NA	TRUE	15:0/17:1	0.001612203	1bar	Ecoli	NA	1
1B	PE 32:1_14.36 | 16:0/16:1	12.81585621	PE	2	NA	32	1	14.36	NA	16	0	NA	16	1	NA	NA	NA	TRUE	16:0/16:1	0.003537532	1bar	Ecoli	NA	1
1B	PE 33:0_18.55 | 16:0/17:0	1.483707082	PE	2	NA	33	0	18.55	NA	16	0	NA	17	0	NA	NA	NA	TRUE	16:0/17:0	4.09544e-4	1bar	Ecoli	NA	1
1B	PE 33:1_16.00 | 16:0/17:1	135.4401563	PE	2	NA	33	1	16	NA	16	0	NA	17	1	NA	NA	NA	TRUE	16:0/17:1	0.037385247	1bar	Ecoli	NA	1
1B	PE 33:2_13.89 | 16:1_17:1	0.233597649	PE	2	NA	33	2	13.89	NA	16	1	NA	17	1	NA	NA	NA	FALSE	16:1_17:1	6.44794e-5	1bar	Ecoli	NA	1
1B	PE 34:0_20.50 | 16:0/18:0	3.1725559	PE	2	NA	34	0	20.5	NA	16	0	NA	18	0	NA	NA	NA	TRUE	16:0/18:0	8.75714e-4	1bar	Ecoli	NA	1
