clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250514 200332	700.2	700	4	0.7	4.9	0	60	226.22031664848328
20250514 200333	700.2	700	4	0.7	4.9	0	60	227.22031807899475
20250514 200334	700.2	700	4	0.7	4.9	0	60	228.22031950950623
20250514 200335	700.2	700	4	0.7	4.9	0	60	229.2203209400177
20250514 200336	700.2	700	4	0.7	4.9	0	60	230.22032237052917
20250514 200337	700.2	700	4	0.7	4.9	0	60	231.22032356262207
20250514 200338	700.2	700	4	0.6	4.9	0	60	232.22032523155212
20250514 200339	700.2	700	4	0.6	4.9	0	60	233.22032642364502
20250514 200340	700.2	700	4	0.6	4.9	0	60	234.2203278541565
20250514 200341	700.2	700	4	0.6	4.9	0	60	235.22032928466797
20250514 200342	700.2	700	4	0.6	4.9	0	60	236.22033047676086
20250514 200343	700.2	700	4	0.6	4.9	0	60	237.22033214569092
20250514 200344	700.2	700	4	0.6	4.9	0	60	238.2203333377838
20250514 200345	700.2	700	4	0.6	4.9	0	60	239.22033500671387
20250514 200346	700.2	600	5	0.6	4.9	0	60	240.28033638000488
20250514 200347	624.3	600	5	0.6	4.9	0	60	241.2703378200531
20250514 200348	604.0	600	5	0.6	4.9	0	60	242.27033925056458
20250514 200349	598.1	600	5	0.6	4.9	0	60	243.27034068107605
20250514 200350	599.4	600	5	0.6	4.9	0	60	244.27034187316895
20250514 200351	601.0	600	5	0.6	4.9	0	60	245.270343542099
20250514 200352	600.0	600	5	0.6	4.9	0	60	246.2703447341919
20250514 200353	599.4	600	5	0.6	4.9	0	60	247.27034616470337
20250514 200354	600.0	600	5	0.6	4.9	0	60	248.27034759521484
20250514 200355	600.4	600	5	0.6	4.9	0	60	249.27034878730774
20250514 200356	600.2	600	5	0.6	4.9	0	60	250.2703504562378
20250514 200357	599.8	600	5	0.6	4.9	0	60	251.2703516483307
20250514 200358	599.8	600	5	0.6	4.9	0	60	252.27035331726074
20250514 200359	600.0	600	5	0.6	4.9	0	60	253.27035450935364
20250514 200400	600.1	600	5	0.6	4.9	0	60	254.2703559398651
20250514 200401	600.1	600	5	0.6	4.9	0	60	255.2703573703766
20250514 200402	600.2	600	5	0.6	4.9	0	60	256.27035880088806
20250514 200403	600.2	600	5	0.6	4.9	0	60	257.27036023139954
20250514 200404	600.3	600	5	0.6	4.9	0	60	258.270361661911
20250514 200405	600.3	600	5	0.6	4.9	0	60	259.2703628540039
20250514 200406	600.3	600	5	0.6	4.9	0	60	260.27036452293396
20250514 200407	600.3	600	5	0.6	4.9	0	60	261.27036571502686
20250514 200408	600.2	600	5	0.6	4.9	0	60	262.27036714553833
20250514 200409	600.3	600	5	0.6	4.9	0	60	263.2703685760498
20250514 200410	600.2	600	5	0.6	4.9	0	60	264.2703697681427
20250514 200411	600.2	600	5	0.6	4.9	0	60	265.27037143707275
20250514 200412	600.3	600	5	0.6	4.9	0	60	266.27037262916565
20250514 200413	600.2	600	5	0.6	4.9	0	60	267.2703742980957
20250514 200414	600.3	600	5	0.6	4.9	0	60	268.2703754901886
20250514 200415	600.2	600	5	0.6	4.9	0	60	269.2703769207001
20250514 200416	600.2	600	5	0.6	4.9	0	60	270.27037835121155
20250514 200417	600.2	600	5	0.6	4.9	0	60	271.270379781723
20250514 200418	600.2	600	5	0.6	4.9	0	60	272.2703812122345
20250514 200419	600.2	600	5	0.6	4.9	0	60	273.270382642746
20250514 200420	600.2	600	5	0.6	4.9	0	60	274.27038383483887
20250514 200421	600.2	600	5	0.6	4.9	0	60	275.2703855037689
20250514 200422	600.2	600	5	0.6	4.9	0	60	276.2703866958618
20250514 200423	600.3	600	5	0.6	4.9	0	60	277.27038836479187
20250514 200424	600.2	600	5	0.6	4.9	0	60	278.27038955688477
20250514 200425	600.2	600	5	0.6	4.9	0	60	279.27039074897766
20250514 200426	600.2	600	5	0.6	4.9	0	60	280.2703924179077
20250514 200427	600.2	600	5	0.6	4.9	0	60	281.2703936100006
20250514 200428	600.2	600	5	0.6	4.9	0	60	282.27039527893066
20250514 200429	600.2	600	5	0.6	4.9	0	60	283.27039647102356
20250514 200430	600.2	600	5	0.6	4.9	0	60	284.27039790153503
20250514 200431	600.2	600	5	0.6	4.9	0	60	285.2703993320465
20250514 200432	600.2	600	5	0.6	4.9	0	60	286.270400762558
20250514 200433	600.2	600	5	0.6	4.9	0	60	287.27040219306946
20250514 200434	600.2	600	5	0.6	4.9	0	60	288.27040362358093
